Date,Sell
2021-10-17,27129.36
2021-10-18,27112.98
2021-10-19,27194.9
2021-10-20,27214.67
2021-10-21,27273.18
2021-10-22,27205.31
2021-10-23,27205.31
2021-10-24,27205.31
2021-10-25,27258.1
2021-10-26,27151.49
2021-10-27,27151.49
2021-10-28,27118.72
2021-10-29,27339.72
2021-10-30,27339.72
2021-10-31,27339.72
2021-11-01,27030.88
2021-11-02,27129.15
2021-11-03,27079.59
2021-11-04,27062.04
2021-11-05,26945.19
2021-11-06,26945.19
2021-11-07,26945.19
2021-11-08,26928.65
2021-11-09,26986.91
2021-11-10,27012.55
2021-11-11,26724.52
2021-11-12,26643.0
2021-11-13,26643.0
2021-11-14,26643.0
2021-11-15,26658.2
2021-11-16,26462.53
2021-11-17,26360.03
2021-11-18,26360.03
2021-11-19,26482.35
2021-11-20,26482.35
2021-11-21,26482.35
2021-11-22,26283.04
2021-11-23,26207.22
2021-11-24,26216.44
2021-11-25,26134.93
2021-11-26,26141.92
2021-11-27,26141.92
2021-11-28,26141.92
2021-11-29,26317.89
2021-11-30,26394.8
2021-12-01,26476.54
2021-12-02,26443.75
2021-12-03,26487.38
2021-12-04,26487.38
2021-12-05,26487.38
2021-12-06,26833.35
2021-12-07,26810.14
2021-12-08,26663.78
2021-12-09,26765.01
2021-12-10,26703.53
2021-12-11,26703.53
2021-12-12,26703.53
2021-12-13,26725.01
2021-12-14,26653.64
2021-12-15,26674.18
2021-12-16,26778.82
2021-12-17,26774.81
2021-12-18,26774.81
2021-12-19,26774.81
2021-12-20,26515.96
2021-12-21,26575.49
2021-12-22,26628.56
2021-12-23,26772.6
2021-12-24,26660.53
2021-12-25,26660.53
2021-12-26,26660.53
2021-12-27,26550.85
2021-12-28,26606.79
2021-12-29,26573.89
2021-12-30,26490.08
2021-12-31,26546.33
2022-01-01,26546.33
2022-01-02,26546.33
2022-01-03,26546.33
2022-01-04,26494.77
2022-01-05,26412.98
2022-01-06,26483.24
2022-01-07,26415.76
2022-01-08,26415.76
2022-01-09,26415.76
2022-01-10,26436.9
2022-01-11,26469.54
2022-01-12,26558.29
2022-01-13,26721.78
2022-01-14,26756.91
2022-01-15,26756.91
2022-01-16,26756.91
2022-01-17,26649.42
2022-01-18,26656.5
2022-01-19,26492.89
2022-01-20,26471.9
2022-01-21,26364.7
2022-01-22,26364.7
2022-01-23,26364.7
2022-01-24,26401.93
2022-01-25,26311.12
2022-01-26,26315.8
2022-01-27,26164.36
2022-01-28,26003.22
